Gene Name	Array data file names	Sample REF	Antibody.validation.status	Antibody.Origin	Antibody.Source..Company.	Catalog.Number	Protein.function.and.regulatory.pathways	Website
STK11	LKB1-M-E_GBL1115819.txt	LKB1-M-E	Under Evaluation	Mouse	Abcam	ab15095	Essential role in G1 cell cycle arrest. Phosphorylates and activates members of the AMPK-related subfamily of protein kinases. Tumor suppressor.	http://www.abcam.com/lkb1-antibody-ley-37dg6-ab15095.html
MAPK1 MAPK3	MAPK_pT202_Y204-R-V_GBL1115682.txt	MAPK_pT202_Y204-R-V	Validated	Rabbit	CST	4377	MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation	http://www.cellsignal.com/products/4377.html
MAP2K1	MEK1-R-V_GBL1115683.txt	MEK1-R-V	Validated	Rabbit	Epitomics	1235-1	MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation	http://www.epitomics.com/products/product_info/276/MEK1-antibody-1235-1.html
MAP2K1	MEK1_pS217_S221-R-V_GBL1115767.txt	MEK1_pS217_S221-R-V	Validated	Rabbit	CST	9154	MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation	http://www.cellsignal.com/products/9154.html
ERRFI1	MIG-6-M-V_GBL1115802.txt	MIG-6-M-V	Validated	Mouse	Sigma	WH0054206M1	ERRFI1 (MIG6) is a cytoplasmic protein whose expression is upregulated with cell growth 	http://www.sigmaaldrich.com/catalog/product/sigma/wh0054206m1?lang=en&region=US
MRE11A	Mre11-R-C_GBL1115684.txt	Mre11-R-C	Use with Caution	Rabbit	CST	4847	A central part of a multisubunit nuclease composed of Mre11, Rad50 and Nbs1 (MRN), Plays a critical role in sensing, processing and repairing DNA double strand breaks	http://www.cellsignal.com/products/4847.html
MSH2	MSH2-M-V_GBL1115831.txt	MSH2-M-V	Validated	Mouse	CST	2850	MSH2 (MutS homologue 2) forms the hMutS-_ dimer with MSH6 and is an essential component of the mismatch DNA repair process. 	http://www.cellsignal.com/products/primary-antibodies/2850?hit=productId&Ntt=2850
MSH6	MSH6-R-C_GBL1115763.txt	MSH6-R-C	Use with Caution	Rabbit	Novus Biologicals	22030002	MSH6 is a mismatch-repair protein. It forms the hMutS-_ dimer with MSH2 and is an essential component of the mismatch DNA repair process. It plays a role in tumor suppression.	http://www.novusbio.com/productsearch/22030002
MTOR	mTOR-R-V_GBL1115685.txt	mTOR-R-V	Validated	Rabbit	CST	2983	The mammalian target of rapamycin (mTOR, FRAP, RAFT) is a Ser/Thr protein kinase, a major component of PI3K/AKT pathway	http://www.cellsignal.com/products/2983.html
MTOR	mTOR_pS2448-R-C_GBL1115686.txt	mTOR_pS2448-R-C	Use with Caution	Rabbit	CST	2971	The mammalian target of rapamycin (mTOR, FRAP, RAFT) is a Ser/Thr protein kinase, a major component of PI3K/AKT pathway	http://www.cellsignal.com/products/2971.html
MYH11	MYH11-R-V_GBL1115786.txt	MYH11-R-V	Validated	Rabbit	SDI / Novus	21370002	Myosin II forms bipolar filaments that interact with actin filaments to produce contraction.	http://www.novusbio.com/Myosin-heavy-chain-11-Antibody_21370002.html
MYH9	Myosin-IIa_pS1943-R-V_GBL1115792.txt	Myosin-IIa_pS1943-R-V	Validated	Rabbit	CST	5026	Non muscle myosin is an actin-based motor protein essential to cell motility, cell division, migration, adhesion, and polarity	http://www.cellsignal.com/products/5026.html
CDH2	N-Cadherin-R-V_GBL1115687.txt	N-Cadherin-R-V	Validated	Rabbit	CST	4061	A member of transmembrane glycoprotein superfamily, Mediate calcium-dependent cell-cell adhesion and normal tissue development. 	http://www.cellsignal.com/products/4061.html
NRAS	N-Ras-M-V_GBL1115840.txt	N-Ras-M-V	Validated	Mouse	Santa Cruz	sc-31	The three Ras oncogenes, H-Ras, K-Ras and N-Ras, encode proteins with GTP/GDP binding and GTPase activity. Activates MAPK pathway.	http://www.scbt.com/datasheet-31-n-ras-f155-antibody.html
NDRG1	NDRG1_pT346-R-V_GBL1115780.txt	NDRG1_pT346-R-V	Validated	Rabbit	CST	3217	A member of the NDRG family functions in growth, differentiation, and cell survival 	http://www.cellsignal.com/products/3217.html
NFKB1	NF-kB-p65_pS536-R-C_GBL1115688.txt	NF-kB-p65_pS536-R-C	Use with Caution	Rabbit	CST	3033	Transcription factors of the nuclear factor _ B (NF-_B)/Rel family play a pivotal role in inflammatory and immune responses 	http://www.cellsignal.com/products/3033.html
NF2	NF2-R-C_GBL1115760.txt	NF2-R-C	Use with Caution	Rabbit	SDI	2271.00.02	Neurofibromin 2 (NF2) is a tumor suppressor gene encoding the protein Merlin to provide a link between the actin cytoskeleten and membrane associated proteins, playing a role in transduction of extracellular signals	
NOTCH1	Notch1-R-V_GBL1115764.txt	Notch1-R-V	Validated	Rabbit	CST	3268	A member of transmembrane receptor family that play important roles in development and the determination of cell fate 	http://www.novusbio.com/Merlin-Antibody_22710002.html
CDH3	P-Cadherin-R-C_GBL1115697.txt	P-Cadherin-R-C	Under Evaluation	Rabbit	CST	2130	A member of transmembrane glycoprotein superfamily, Mediate calcium-dependent cell-cell adhesion and normal tissue development. 	http://www.cellsignal.com/products/2130.html
CDKN1A	p21-R-V_GBL1115690.txt	p21-R-V	Validated	Rabbit	Santa Cruz	SC-397	p21 is a potent, tight-binding inhibitor of Cdks and can inhibit the phosphorylation of Rb by cyclin A-Cdk 2, cyclin E-Cdk2, cyclin D1-Cdk4 and cyclin D2-Cdk4 complexes. Involves in p53 pathway and induces cell cycle arrest.	http://www.scbt.com/datasheet-397-p21-c-19-antibody.html
CDKN1B	p27-R-V_GBL1115743.txt	p27-R-V	Validated	Rabbit	Epitomics	1591-1	Regulates cell cycle arrest at G1 phase	http://www.epitomics.com/products/product_info/311/p27-Kip1-antibody-1591-1.html
CDKN1B	p27_pT157-R-C_GBL1115736.txt	p27_pT157-R-C	Use with Caution	Rabbit	R&D	AF1555	Regulates cell cycle arrest at G1 phase	
CDKN1B	p27_pT198-R-V_GBL1115738.txt	p27_pT198-R-V	Validated	Rabbit	Abcam	ab64949	Involved in cell cycle arrest at G1 phase.	http://www.abcam.com/p27-kip-1-phospho-t198-antibody-ab64949.html
MAPK14	p38_MAPK-R-V_GBL1115691.txt	p38_MAPK-R-V	Validated	Rabbit	CST	9212	 A member of MAPKs. MKK3, MKK6, and SEK phosphorylate and activate p38 MAPK	http://www.cellsignal.com/products/9212.html
MAPK14	p38_pT180_Y182-R-V_GBL1115692.txt	p38_pT180_Y182-R-V	Validated	Rabbit	CST	9211	 A member of MAPKs. MKK3, MKK6, and SEK phosphorylate and activate p38 MAPK	http://www.cellsignal.com/products/9211.html
TP53	p53-R-E_GBL1115693.txt	p53-R-E	Under Evaluation	Rabbit	CST	9282	Tumor suppressor and Transcription Factor, Regulates cell cycle arrest and apoptosis and DNA repair 	http://www.cellsignal.com/products/9282.html
SQSTM1	p62-LCK-ligand-M-C_GBL1115856.txt	p62-LCK-ligand-M-C	Under Evaluation	Mouse	BD Transduction Lab	610833	p62 lck ligand (zeta-interacting protein (ZIP)) is a cytoplasmic protein that binds to the SH2 domain of lck. It interacts with PKC_..	http://www.bdbiosciences.com/ptProduct.jsp?prodId=32650&key=610833&param=search&mterms=true&from=dTable
RPS6KB1	p70S6K-R-V_GBL1115694.txt	p70S6K-R-V	Validated	Rabbit	Epitomics	1494-1	Mitogen-activated Ser/Thr protein kinase, Involved in PI3K, MAPK and PKC pathways	http://www.epitomics.com/products/product_info/321/p70-antibody-1494-1.html
RPS6KB1	p70S6K_pT389-R-V_GBL1115695.txt	p70S6K_pT389-R-V	Validated	Rabbit	CST	9205	Mitogen-activated Ser/Thr protein kinase, Involved in PI3K, MAPK and PKC pathways	http://www.cellsignal.com/products/9205.html
RPS6KA1	p90RSK-R-C_GBL1115724.txt	p90RSK-R-C	Use with Caution	Rabbit	CST	9347	The 90 kDa ribosomal S6 kinases (RSK1-4) are a family of widely expressed Ser/Thr kinases involving in MAPK and PI3K signaling	http://www.cellsignal.com/products/9347.html
RPS6KA1	p90RSK_pT359_S363-R-C_GBL1115726.txt	p90RSK_pT359_S363-R-C	Use with Caution	Rabbit	CST	9344	The 90 kDa ribosomal S6 kinases (RSK1-4) are a family of widely expressed Ser/Thr kinases involving in MAPK and PI3K signaling	http://www.cellsignal.com/products/9344.html
SERPINE1	PAI-1-M-E_GBL1115820.txt	PAI-1-M-E	Under Evaluation	Mouse	BD Biosciences	612024	PAI-1 is a glycoprotein involves in tissue plasminogen activator (tPA) and urokinase PA (uPA) signaling	http://www.bdbiosciences.com/ptProduct.jsp?prodId=106729&key=612024&param=search&mterms=true&from=dTable
PARP1	PARP_cleaved-M-E_GBL1115821.txt	PARP_cleaved-M-E	**Used for QC**	Mouse	CST	9546	PARP, a 116 kDa nuclear poly (ADP-ribose) polymerase, appears to be involved in DNA repair in response to environmental stress. This protein can be cleaved by many ICE-like caspases in vitro and is one of the main cleavage targets of caspase-3 in vivo. In human PARP, the cleavage occurs between Asp214 and Gly215, which separates the PARP amino-terminal DNA binding domain (24 kDa) from the carboxy-terminal catalytic domain (89 kDa). PARP helps cells to maintain their viability; cleavage of PARP facilitates cellular disassembly and serves as a marker of cells undergoing apoptosis.	http://www.cellsignal.com/products/primary-antibodies/9546?hit=productId&Ntt=9546
PARP1	PARP1-R-V_GBL1115798.txt	PARP1-R-V	Valid	Rabbit	Santa Cruz	sc-7150	Poly(ADP-ribose) polymerase-1 (PARP-1), also designated PARP, is a nuclear DNA-binding zinc finger protein that influences DNA repair, DNA replication, modulation of chromatin structure, and apoptosis. In response to genotoxic stress, PARP-1 catalyzes the transfer of ADP-ribose units from NAD(+) to a number of acceptor molecules including chromatin. PARP-1 recognizes DNA strand interruptions and can complex with RNA and negatively regulate transcription. Actinomycin D- and etoposide-dependent induction of caspases mediates cleavage of PARP-1 into a p89 fragment that traverses into the cytoplasm. Apoptosis-inducing factor (AIF) translocation from the mitochondria to the nucleus is PARP-1-dependent and is necessary for PARP-1-dependent cell death. PARP-1 deficiencies lead to chromosomal instability due to higher frequencies of chromosome fusions and aneuploidy, suggesting that poly(ADP-ribosyl)ation contributes to the efficient maintenance of genome integrity. PARP-2 is part of the base excision repair (BER) pathway, catalyzing the poly(ADP-ribosy)lation of nuclear proteins. PARP-2 is a nuclear, DNA-binding protein which interacts with PARP-1. PARP-2 is present in actively dividing tissues with highest levels in the kidney, skeletal muscle, liver, heart and spleen.	http://www.scbt.com/datasheet-7150-parp-1-h-250-antibody.html
PXN	Paxillin-R-C_GBL1115696.txt	Paxillin-R-C	Use with Caution	Rabbit	Epitomics	1500-1	Involved in actin-membrane attachment, Regulates integrin signaling	http://www.epitomics.com/products/product_info/334/Paxillin-antibody-1500-1.html
PCNA	PCNA-M-C_GBL1115822.txt	PCNA-M-C	Use with Caution	Mouse	Abcam	ab29	Involves in DNA repair	http://www.abcam.com/pcna-antibody-pc10-proliferation-marker-ab29.html
PDCD4	PDCD4-R-C_GBL1115734.txt	PDCD4-R-C	Use with Caution	Rabbit	Rockland	600-401-965	Pdcd4 directly inhibits the helicase activity of eukaryotic translation initiation factor 4A (eIF4A), a component of the translation initiation complex. Pdcd4 also suppresses the transactivation of activator protein-1 (AP-1)-responsive promoters by c-Jun. Pdcd4 contains two Akt phosphorylation sites, one at Ser67 and the other at Ser457. The phosphorylation of Pdcd4 by Akt causes nuclear translocation of Pdcd4 and a significant decrease in the ability of Pdcd4 to interfere with the transactivation of AP-1-responsive promoters by c-Jun.	http://www.rockland-inc.com/store/Apoptosis-Antibodies-600-401-965-O4L_18137.aspx
PDK1	PDK1-R-V_GBL1115698.txt	PDK1-R-V	Validated	Rabbit	CST	3062	Phosphoinositide-dependent protein kinase 1, involved in PI3K/AKT and PKC signaling	http://www.cellsignal.com/products/3062.html
PDK1	PDK1_pS241-R-V_GBL1115699.txt	PDK1_pS241-R-V	Validated	Rabbit	CST	3061	Phosphoinositide-dependent protein kinase 1, involved in PI3K/AKT and PKC signaling	http://www.cellsignal.com/products/3061.html
PEA15	PEA15-R-V_GBL1115755.txt	PEA15-R-V	Validated	Rabbit	CST	2780	Coordinate cell growth, death, and glucose utilization. Involved in MAPK  signaling	http://www.cellsignal.com/products/2780.html
PEA15	PEA15_pS116-R-V_GBL1115756.txt	PEA15_pS116-R-V	Validated	Rabbit	Invitrogen	44-836G	Implicated in the regulation of multiple cellular processes including apoptosis, integrin activation, and insulin-sensitive glucose transport in insulin-responsive cells. Its activation mediated through binding to multiple proteins, including ERK1&2, RSK2, Akt, FADD, and Caspase-8.	http://products.invitrogen.com/ivgn/product/44836G?ICID=search-44836g
PIK3CA 	PI3K-p110-alpha-R-C_GBL1115733.txt	PI3K-p110-alpha-R-C	Use with Caution	Rabbit	CST	4255	One of the of the catalytic subunit of PI3K	http://www.cellsignal.com/products/4255.html
PIK3R1 PIK3R2	PI3K-p85-R-V_GBL1115700.txt	PI3K-p85-R-V	Validated	Rabbit	Upstate (Millipore)	06-195	PI3K p85 regulatory subunit	https://www.millipore.com/catalogue/item/06-195
PRKCA 	PKC-alpha-M-V_GBL1115823.txt	PKC-alpha-M-V	Validated	Mouse	Upstate (Millipore)	05-154	PKC alpha is an ubiquitously expressed PKC isozyme that has been implicated in the regulation of a broad range of cellular functions 	https://www.millipore.com/catalogue/item/05-154
PRKCA 	PKC-alpha_pS657-R-C_GBL1115701.txt	PKC-alpha_pS657-R-C	Use with Caution	Rabbit	Upstate (Millipore)	06-822	PKC alpha is an ubiquitously expressed PKC isozyme that has been implicated in the regulation of a broad range of cellular functions 	https://www.millipore.com/catalogue/item/06-822
PRKCD	PKC-delta_pS664-R-V_GBL1115750.txt	PKC-delta_pS664-R-V	Validated	Rabbit	Millipore	07-875	PKC is activated by diacylglycerol which in turn phosphorylates a range of cellular proteins. PKC also serves as the receptor for phorbol esters, a class of tumor promoters.	https://www.millipore.com/catalogue/item/07-875
PRKCB	PKC-pan_BetaII_pS660-R-V_GBL1115784.txt	PKC-pan_BetaII_pS660-R-V	Validated	Rabbit	CST	9371	Activation of protein kinase C (PKC) is one of the earliest events in a cascade that controls a variety of cellular responses, including secretion, gene expression, proliferation, and muscle contraction	http://www.cellsignal.com/products/9371.html
PGR	PR-R-V_GBL1115702.txt	PR-R-V	Validated	Rabbit	Epitomics	1483-1	Progesterone receptor, Transcription Factor	http://www.epitomics.com/products/product_info/354/Progesterone-antibody-1483-1.html
AKT1S1	PRAS40_pT246-R-V_GBL1115722.txt	PRAS40_pT246-R-V	Validated	Rabbit	Biosource	441100G	PRAS40 is a 14-3-3 binding protein that reacts with insulin. PRAS40 is phosphorylated by AKT	http://products.invitrogen.com/ivgn/product/441100G?ICID=search-441100g
PRDX1	PRDX1-R-V_GBL1115796.txt	PRDX1-R-V	Under Evaluation	Rabbit	Sigma/Atlas	HPA007730	A member of the peroxiredoxin family of antioxidant enzymes, which reduce hydrogen peroxide and alkyl hydroperoxides. 	http://www.sigmaaldrich.com/catalog/product/sigma/hpa007730?lang=en&region=US
PREX1	PREX1-R-E_GBL1115851.txt	PREX1-R-E	Under Evaluation	Rabbit	Abcam	ab102739	Downstream of Heterotrimric G proteins (Guanine nucleotide exchange factor)	http://www.abcam.com/prex1-antibody-ab102739.html
PTEN	PTEN-R-V_GBL1115704.txt	PTEN-R-V	Validated	Rabbit	CST	9552	A lipid and protein phosphatase, a tumor suppressor, Major negative regulator of PI3K/AKT signaling	http://www.cellsignal.com/products/9552.html
RAB11A RAB11B	Rab11-R-E_GBL1115770.txt	Rab11-R-E	Under Evaluation	Rabbit	CST	3539	Rab11 family posseses small Ras-like GTPase activity. Rab11 family includes Rab11a, Rab11b and Rab25 	http://www.cellsignal.com/products/3539.html
RAB25	Rab25-R-V_GBL1115789.txt	Rab25-R-V	Validated	Rabbit	CST	4314	A member of Rab11 family posseses small Ras-like GTPase activity.  Increased Rab25 expression is associated with aggressive growth in ovarian and breast cancer, where Rab25 may inhibit apoptosis and promote cancer cell proliferation and invasion through regulation of vesicle transport and cellular motility.	http://www.cellsignal.com/products/4314.html
RAD50	Rad50-M-V_GBL1115799.txt	Rad50-M-V	Validated	Mouse	Millipore	05-525	Involved in DNA double-strand break repair	https://www.millipore.com/catalogue/item/05-525
RAD51	Rad51-R-V_GBL1115797.txt	Rad51-R-V	Under Evaluation	Mouse	Chem Biotech	na 71	Involved in DNA double-strand break repair	
RPTOR	Raptor-R-V_GBL1115781.txt	Raptor-R-V	Validated	Rabbit	CST	2280	The regulatory associated protein of mTOR (Raptor) was identified as an mTOR binding partner that mediates mTOR signaling to downstream targets. Recently raptor has been identified as a direct substrate of the AMP-activated protein kinase (AMPK). 	http://www.cellsignal.com/products/2280.html
RB1	Rb-M-E_GBL1115824.txt	Rb-M-E	**Used for QC**	Mouse	CST	9309	The retinoblastoma tumor suppressor protein Rb regulates cell proliferation by controlling progression through the restriction point within the G1-phase of the cell cycle. Rb has three functionally distinct binding domains and interacts with critical regulatory proteins including the E2F family of transcription factors, c-Abl tyrosine kinase, and proteins with a conserved LXCXE motif (2-4). Cell cycle-dependent phosphorylation by a CDK inhibits Rb target binding and allows cell cycle progression. Rb inactivation and subsequent cell cycle progression likely requires an initial phosphorylation by cyclin D-CDK4/6 followed by cyclin E-CDK2 phosphorylation. Specificity of different CDK/cyclin complexes has been observed in vitro and cyclin D1 is required for Ser780 phosphorylation in vivo.	http://www.cellsignal.com/products/primary-antibodies/9309?hit=productId&Ntt=9309
RB1	Rb_pS807_S811-R-V_GBL1115703.txt	Rb_pS807_S811-R-V	Validated	Rabbit	CST	9308	The retinoblastoma tumor suppressor protein regulates cell proliferation by controlling progression through the restriction point within the G1-phase of the cell cycle	http://www.cellsignal.com/products/9308.html
RBM15	RBM15-R-V_GBL1115785.txt	RBM15-R-V	Validated	Rabbit	SDI / Novus	21390002	RBM15, have repressor function in several signaling pathways	http://www.novusbio.com/RBM15-Antibody_21390002.html
RICTOR	Rictor-R-C_GBL1115782.txt	Rictor-R-C	UsewithCaution	Rabbit	CST	2114	Rapamycin-insensitive companion of mTOR mediate rictor-mTOR signaling and phosphorylates Akt/PKB on Ser473 required for the full activation of AKT	Discontinued and replaced by http://www.cellsignal.com/products/2280.html
RICTOR	Rictor_pT1135-R-V_GBL1115783.txt	Rictor_pT1135-R-V	Validated	Rabbit	CST	3806	Rapamycin-insensitive companion of mTOR mediate rictor-mTOR signaling and phosphorylates Akt/PKB on Ser473 required for the full activation of AKT	http://www.cellsignal.com/products/3806.html
RPS6	S6-R-E_GBL1115706.txt	S6-R-E	Under Evaluation	Rabbit	CST	2217	Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation	http://www.cellsignal.com/products/2217.html
RPS6	S6_pS235_S236-R-V_GBL1115707.txt	S6_pS235_S236-R-V	Validated	Rabbit	CST	2211	Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation	http://www.cellsignal.com/products/2211.html
RPS6	S6_pS240_S244-R-V_GBL1115708.txt	S6_pS240_S244-R-V	Validated	Rabbit	CST	2215	Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation	http://www.cellsignal.com/products/2215.html
SCD	SCD-M-V_GBL1115838.txt	SCD-M-V	Validated	Mouse	Santa Cruz	sc-58420	Stearoyl-CoA desaturase (SCD) is a microsomal enzyme required for the synthesis of oleate and palmitoleate, which are the major monounsaturated fatty acids of membrane phospholipids, triglycerides and cholesterol esters.	http://www.scbt.com/datasheet-58420-scd-cd-e10-antibody.html
SETD2	SETD2-R-E_GBL1115758.txt	SETD2-R-E	**Used for QC**	Rabbit	Abcam	ab69836	SETD2 is a Histone methyltransferase that methylates 'Lys-36' of histone H3. H3 'Lys-36' methylation represents a specific tag for epigenetic transcriptional activation. Probably plays a role in chromatin structure modulation during elongation via its interaction with hyperphosphorylated POLR2A. Binds DNA at promoters. May also act as a transcription activator that binds to promoters. Binds to the promoters of adenovirus 12 E1A gene in case of infection, possibly leading to regulate its expression.	http://www.abcam.com/kmt3a--hypb--hif-1-antibody-ab69836.html
SRSF1	SF2-M-V_GBL1115839.txt	SF2-M-V	Validated	Mouse	Invitrogen	32-4500	The SF proteins are essential splicing factors and also regulate alternative splicing of many pre-mRNAs.	http://products.invitrogen.com/ivgn/product/324500?ICID=search-324500
SHC1	Shc_pY317-R-E_GBL1115757.txt	Shc_pY317-R-E	Validated	Rabbit	CST	2431	Serves as a scaffold protein in signaling for a variety of receptor tyrosine kinases	http://www.cellsignal.com/products/2431.html
DIABLO	Smac-M-E_GBL1115825.txt	Smac-M-E	**Used for QC**	Mouse	CST	2954	Smac/Diablo is a 21 kDa mammalian mitochondrial protein that functions as a regulatory component during apoptosis. Upon mitochondrial stress, Smac/Diablo is released from mitochondria and competes with caspases for binding of IAPs (inhibitor of apoptosis proteins). The interaction of Smac/Diablo with IAPs relieves the inhibitory effect of the IAPs on caspases. This interaction involves mainly the amino-terminal residues of Smac/Diablo with the BIR3 region of XIAP, supplemented with several other hydrophobic interactions between the helical structures of Smac/Diablo and other areas of BIR3.	http://www.cellsignal.com/products/primary-antibodies/2954?hit=productId&Ntt=2954
SMAD1	Smad1-R-V_GBL1115748.txt	Smad1-R-V	Validated	Rabbit	Epitomics	1649-1	Mediates TGF beta signaling	http://www.epitomics.com/products/product_info/388/Smad1-antibody-1649-1.html
SMAD3	Smad3-R-V_GBL1115730.txt	Smad3-R-V	Validated	Rabbit	Epitomics	1735-1	Mediates TGF beta signaling	http://www.epitomics.com/products/product_info/454/Smad3-antibody-1735-1.html
SMAD4	Smad4-M-V_GBL1115834.txt	Smad4-M-V	Validated	Mouse	Santa Cruz	sc-7966	Mediates TGF beta signaling	http://www.scbt.com/table-smad4.html
SNAI1	Snail-M-E_GBL1115826.txt	Snail-M-E	**Used for QC**	Mouse	CST	3895	Snail is a zinc-finger transcription factor that can repress E-cadherin transcription. Downregulation of E-cadherin is associated with epithelial-mesenchymal transition during embryonic development, a process also exploited by invasive cancer cells. Indeed, loss of E-cadherin expression is correlated with the invasive properties of some tumors and there is a considerable inverse correlation between Snail and E-cadherin mRNA levels in epithelial tumor cell lines. In addition, Snail blocks the cell cycle and confers resistance to cell death. Phosphorylation of Snail by GSK-3 and PAK1 regulates its stability, cellular localization and function.	http://www.cellsignal.com/products/primary-antibodies/3895?hit=productId&Ntt=3895
SRC	Src-M-V_GBL1115827.txt	Src-M-V	Validated	Mouse	Upstate (Millipore)	05-184	A member of Src family of protein tyrosine kinases	https://www.millipore.com/catalogue/item/05-184
SRC	Src_pY416-R-C_GBL1115709.txt	Src_pY416-R-C	Use with Caution	Rabbit	CST	2101	A member of Src family of protein tyrosine kinases	http://www.cellsignal.com/products/2101.html
SRC	Src_pY527-R-V_GBL1115710.txt	Src_pY527-R-V	Validated	Rabbit	CST	2105	A member of Src family of protein tyrosine kinases	http://www.cellsignal.com/products/2105.html
STAT3	STAT3_pY705-R-V_GBL1115711.txt	STAT3_pY705-R-V	Validated	Rabbit	CST	9131	Signal transducer and activator of transcription 3 functions both in signal transduction and activation of transcription	http://www.cellsignal.com/products/9131.html
STAT5A	STAT5-alpha-R-V_GBL1115713.txt	STAT5-alpha-R-V	Validated	Rabbit	Epitomics	1289-1	Signal transducer and activator of transcription 5 functions both in signal transduction and activation of transcription	http://www.epitomics.com/products/product_info/398/Stat-5-antibody-1289-1.html
STMN1	Stathmin-R-V_GBL1115718.txt	Stathmin-R-V	Validated	Rabbit	Epitomics	1972-1	Ubiquitous cytosolic phosphoprotein	http://www.epitomics.com/products/product_info/701/Stathmin-antibody-1972-1.html
SYK	Syk-M-V_GBL1115800.txt	Syk-M-V	Validated	Mouse	Santa Cruz	sc-1240	One of several members of the protein kinase superfamily involved in PI3K and PLC signaling	http://www.scbt.com/datasheet-1240-syk-4d10-antibody.html
WWTR1	TAZ-R-V_GBL1115727.txt	TAZ-R-V	Validated	Rabbit	CST	2149	Transcriptional co-activator	http://www.cellsignal.com/products/2149.html
TFRC	TFRC-R-V_GBL1115787.txt	TFRC-R-V	Validated	Rabbit	SDI / Novus	22500002	Transferrin Receptor	http://www.novusbio.com/Transferrin-Receptor-Antibody_22500002.html
TIGAR	TIGAR-R-V_GBL1115810.txt	TIGAR-R-V	Under Evaluation	Rabbit	Epitomics	S1711	Regulates p53 tumor suppresor pathway and glycolysis	http://www.epitomics.com/products/product_info/3961/TIGAR-antibody-S1711.html
TGM2	Transglutaminase-M-V_GBL1115832.txt	Transglutaminase-M-V	Validated	Mouse	Lab Vision	MS-224	Transglutaminases catalyze the posttranslational modification of proteins by transamidation of available glutamine residues. Reported to facilitate breast cancer metastasis.	https://thermo.dirxion.com/immunohistochemistry/WebProject.asp?CodeId=7.6.3.2&BookCode=ihc12flx#
TSC1	TSC1-R-C_GBL1115779.txt	TSC1-R-C	Use with Caution	Rabbit	CST	4906	The tumor suppressor genes TSC1 encode hamartin functions as a GTPase-activating protein for the Ras-related small G protein Rheb and thus inhibits targets of rapamycin including mTOR to regulate G1 phase of the cell cycle, steroid hormone regulation, Rho activation and anchoring neuronal intermediate filaments to the actin cytoskeleton. 	http://www.cellsignal.com/products/4906.html
NKX2-1	TTF1-R-V_GBL1115768.txt	TTF1-R-V	Valid	Rabbit	Abcam	ab76013	TTF1 is a transcription factor that binds and activates the promoter of thyroid specific genes such as thyroglobulin, thyroperoxidase, and thyrotropin receptor. Crucial in the maintenance of the thyroid differentiation phenotype. May play a role in lung development and surfactant homeostasis.	http://www.abcam.com/ttf1-antibody-ep1584y-ab76013.html
TSC2	Tuberin-R-E_GBL1115714.txt	Tuberin-R-E	Validated	Rabbit	Epitomics	1613-1	Tuberous sclerosis complex-2 (TSC2 also known as Tuberin) is a tumor suppressor that forms a complex with TSC1 (Hamartin ) and this complex is known to control various cellular functions including cell cycle, endocytosis, adhesion, and transcription. Involved in AKT/mTOR signaling. 	http://www.epitomics.com/products/product_info/411/TSC2-Tuberin-antibody-1613-1.html
TSC2	Tuberin_pT1462-R-V_GBL1115715.txt	Tuberin_pT1462-R-V	Validated	Rabbit	CST	3617	Tuberin is a product of the TSC2 tumor suppressor gene and an important regulator of cell proliferation and tumor development. Involved in AKT/mTOR signaling. 	http://www.cellsignal.com/products/3617.html
KDR	VEGFR2-R-V_GBL1115716.txt	VEGFR2-R-V	Validated	Rabbit	CST	2479	A major receptor for VEGF-induced signaling in endothelial cells	http://www.cellsignal.com/products/2479.html
EPPK1	EPPK1-M-E_GBL1115828.txt	EPPK1-M-E	Use with Caution	Mouse	BD Pharmingen	556347	Transfection Factor	http://www.bdbiosciences.com/ptProduct.jsp?prodId=12727&key=556347&param=search&mterms=true&from=dTable
XBP1	XBP1-G-C_GBL1115805.txt	XBP1-G-C	Use with Caution	Goat	Santa Cruz	sc-32136	The X-box binding protein-1 plays a role in regulation of expression of osteoblast-specific genes.	http://www.scbt.com/datasheet-32136-xbp-1-r-14-antibody.html
XRCC1	XRCC1-R-E_GBL1115746.txt	XRCC1-R-E	Under Evaluation	Rabbit	CST	2735	A DNA repair protein important in both single strand break repair and base excision repair following damage from ionizing radiation and alkylating agents	http://www.cellsignal.com/products/2735.html
YAP1	YAP-R-E_GBL1115728.txt	YAP-R-E	Under Evaluation	Rabbit	Santa Cruz	sc-15407	Involved in Src, AKT and MAPK signaling	
YAP1	YAP_pS127-R-E_GBL1115729.txt	YAP_pS127-R-E	Under Evaluation	Rabbit	CST	4911	Involved in Src, AKT and MAPK signaling	http://www.cellsignal.com/products/4911.html
YBX1	YB-1-R-V_GBL1115717.txt	YB-1-R-V	Validated	Rabbit	SDI	1725.00.02	Belongs to a family of evolutionarily conserved, multifunctional Y-box proteins that bind to DNA and RNA,  function as regulators of transcription, RNA metabolism, and protein synthesis	http://www.novusbio.com/YB1-Antibody_17250002.html
